location,latitude,longitude,urbanization_index,industry_density,avg_pm25,source,risk_score
Mediterranean Sea,36.773149,2.820132,0.2,0.1,0.805757,Marine,0.12
Coastal Waters of Southeast Alaska and British Columbia,47.8033,-122.6763,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,24.85,-83.55,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,25.35,-82.58,0.2,0.1,0.0108,Marine,0.12
Caribbean Sea,17.6,-63.32,0.2,0.1,0.0108,Marine,0.12
Caribbean Sea,13.35,-61.38,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,10.55,-64.68,0.2,0.1,0.00648,Marine,0.12
Caribbean Sea,12.43,-65.48,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.18,-62.07,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.47,-63.22,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.32,-72.15,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.45,-76.48,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.44,-75.76,0.2,0.1,0.00864,Marine,0.12
Mediterranean Sea,32.823667,35.035,0.2,0.1,9.563492,Marine,0.1203
Mediterranean Sea,37.471,25.159,0.2,0.1,0.159524,Marine,0.12
North Sea,56.114833,-2.776,0.2,0.1,0.031501,Marine,0.12
Northwestern Passages,73.6265,-81.3629,0.2,0.1,0.044,Marine,0.12
Northwestern Passages,71.8268,-93.6988,0.2,0.1,0.087,Marine,0.12
Mediterranean Sea,42.4907,3.4473,0.2,0.1,1.490453,Marine,0.12
Inner Seas off the West Coast of Scotland,55.870833,-4.915833,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,37.9142,23.62655,0.2,0.1,0.128726,Marine,0.12
Mediterranean Sea,37.56,-0.861667,0.2,0.1,0.189,Marine,0.12
Monterey Bay National Marine Sanctuary,36.9572,-121.9669,0.2,0.1,0.002,Marine,0.12
Gulf of Mexico,21.5317,-87.3683,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,22.282206,-97.798196,0.2,0.1,1410.437236,Marine,0.1603
Gulf of Mexico,27.9899,-82.6316,0.2,0.1,1000.0,Marine,0.1486
Gulf of California,23.14,-109.13,0.2,0.1,0.0,Marine,0.12
Gulf of California,24.14189,-110.349147,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.57,-84.95,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,11.42,-66.5,0.2,0.1,0.00432,Marine,0.12
Caribbean Sea,12.42,-61.93,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.35,-68.7,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.92,-63.97,0.2,0.1,0.00864,Marine,0.12
Caribbean Sea,15.81,-61.99,0.2,0.1,0.00576,Marine,0.12
Caribbean Sea,19.03,-74.49,0.2,0.1,0.0027,Marine,0.12
North Sea,56.1345,-2.743167,0.2,0.1,0.0,Marine,0.12
Norwegian Sea,66.331683,12.380167,0.2,0.1,0.007412,Marine,0.12
Mediterranean Sea,43.3204,5.3147,0.2,0.1,0.051692,Marine,0.12
Gulf of Mexico,24.91,-82.62,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.61,-82.7832,0.2,0.1,2000.0,Marine,0.1771
Caribbean Sea,12.62,-68.48,0.2,0.1,0.0024,Marine,0.12
Caribbean Sea,16.68,-71.35,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.08,-73.99,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.84,-65.0,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.52,-61.58,0.2,0.1,0.00648,Marine,0.12
Caribbean Sea,18.8,-78.45,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.94878,-76.83517,0.2,0.1,0.94,Marine,0.12
Caribbean Sea,18.57,-75.24,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,11.83,-68.03,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,18.96,-78.46,0.2,0.1,0.035996,Marine,0.12
Caribbean Sea,17.03,-83.95,0.2,0.1,0.019208,Marine,0.12
Gulf of Mexico,19.430959,-96.321492,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,32.6775,34.920833,0.2,0.1,0.935516,Marine,0.12
North Sea,56.1245,-2.390667,0.2,0.1,0.040009,Marine,0.12
Skagerrak Strait,58.2773,8.9017,0.2,0.1,0.001,Marine,0.12
North Sea,60.596667,1.341,0.2,0.1,0.078347,Marine,0.12
Mediterranean Sea,43.3204,5.3147,0.2,0.1,0.006734,Marine,0.12
Gulf of Mexico,21.526733,-87.37755,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,24.32,-84.47,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.88,-73.62,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,15.66,-62.68,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,18.9,-77.17,0.2,0.1,0.0,Marine,0.12
North Sea,57.129167,-1.9935,0.2,0.1,0.008584,Marine,0.12
North Sea,57.2265,-1.912167,0.2,0.1,0.043062,Marine,0.12
Inner Seas off the West Coast of Scotland,55.840667,-5.7935,0.2,0.1,0.134295,Marine,0.12
Celtic Sea,48.113667,-4.628667,0.2,0.1,0.089249,Marine,0.12
Mediterranean Sea,43.4316,7.8389,0.2,0.1,0.54767,Marine,0.12
Mediterranean Sea,43.6536,7.2356,0.2,0.1,0.99641,Marine,0.12
Mediterranean Sea,39.925,19.282,0.2,0.1,0.26,Marine,0.12
Mediterranean Sea,40.26,1.848333,0.2,0.1,0.345602,Marine,0.12
Mediterranean Sea,41.373055,2.191604,0.2,0.1,0.504667,Marine,0.12
Gulf of Mexico,27.61,-82.7832,0.2,0.1,18.1,Marine,0.1205
Caribbean Sea,13.47,-60.41,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.57,-63.28,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.6,-63.07,0.2,0.1,0.0036,Marine,0.12
Caribbean Sea,17.0,-63.72,0.2,0.1,0.00576,Marine,0.12
Caribbean Sea,10.6,-64.64,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,13.84,-64.9,0.2,0.1,0.002056,Marine,0.12
Caribbean Sea,14.24,-66.07,0.2,0.1,0.0024,Marine,0.12
Caribbean Sea,13.25,-68.92,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,12.3,-68.83,0.2,0.1,0.00216,Marine,0.12
Mediterranean Sea,31.7495,34.5525,0.2,0.1,0.854621,Marine,0.12
Gulf of Alaska,59.1755,-152.0623,0.2,0.1,0.025,Marine,0.12
Inner Seas off the West Coast of Scotland,55.8055,-4.889,0.2,0.1,0.01685,Marine,0.12
Norwegian Sea,61.85905,5.269233,0.2,0.1,0.342259,Marine,0.12
Mediterranean Sea,39.800167,7.3995,0.2,0.1,2.744511,Marine,0.1201
Celtic Sea,49.026733,-11.401704,0.2,0.1,6.0,Marine,0.1202
Mediterranean Sea,43.025167,9.641667,0.2,0.1,0.809524,Marine,0.12
Mediterranean Sea,39.4135,2.483333,0.2,0.1,1.699456,Marine,0.12
Gulf of Mexico,21.29148,-89.634561,0.2,0.1,1410.437236,Marine,0.1603
Gulf of Mexico,21.526733,-87.37755,0.2,0.1,705.218618,Marine,0.1401
Caribbean Sea,14.34,-61.71,0.2,0.1,0.00648,Marine,0.12
Caribbean Sea,17.17,-79.1,0.2,0.1,0.01512,Marine,0.12
Caribbean Sea,12.55,-65.11,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.9,-64.62,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.07,-61.95,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,42.5459,9.7543,0.2,0.1,1.599813,Marine,0.12
Inner Seas off the West Coast of Scotland,57.332,-6.855167,0.2,0.1,0.101292,Marine,0.12
North Sea,56.077167,-2.996333,0.2,0.1,0.084239,Marine,0.12
Mediterranean Sea,36.239,22.33,0.2,0.1,0.554762,Marine,0.12
Mediterranean Sea,38.013833,11.612333,0.2,0.1,0.064788,Marine,0.12
Gulf of California,31.29732,-113.541203,0.2,0.1,2115.655853,Marine,0.1804
Gulf of Mexico,25.3,-84.57,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.6279,-82.6415,0.2,0.1,3000.0,Marine,0.2057
Caribbean Sea,17.93172,-76.84303,0.2,0.1,0.06,Marine,0.12
Caribbean Sea,10.53,-75.92,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,10.62,-64.52,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,12.35,-64.25,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.37,-65.01,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,43.210898,5.406395,0.2,0.1,0.208511,Marine,0.12
Mediterranean Sea,42.6225,8.6588,0.2,0.1,2.014904,Marine,0.1201
Inner Seas off the West Coast of Scotland,55.763667,-4.966167,0.2,0.1,0.01667,Marine,0.12
North Sea,56.136,-2.690167,0.2,0.1,0.140195,Marine,0.12
Mediterranean Sea,41.379079,2.194423,0.2,0.1,1.219333,Marine,0.12
Mediterranean Sea,40.4495,19.132833,0.2,0.1,1.163257,Marine,0.12
Mediterranean Sea,38.8955,8.907167,0.2,0.1,0.33955,Marine,0.12
Gulf of Mexico,27.8524,-82.4093,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,14.2518,-60.4931,0.2,0.1,0.005,Marine,0.12
Gulf of Mexico,19.430959,-96.321492,0.2,0.1,1410.437236,Marine,0.1603
Caribbean Sea,16.15,-72.44,0.2,0.1,0.005036,Marine,0.12
Caribbean Sea,18.94,-75.84,0.2,0.1,0.00864,Marine,0.12
Caribbean Sea,18.39,-80.19,0.2,0.1,0.0108,Marine,0.12
Caribbean Sea,16.7199,-87.7875,0.2,0.1,0.01,Marine,0.12
Caribbean Sea,11.83,-68.02,0.2,0.1,0.00432,Marine,0.12
Mediterranean Sea,34.8602,26.0123,0.2,0.1,0.263478,Marine,0.12
North Sea,57.859333,-3.028333,0.2,0.1,0.021019,Marine,0.12
North Sea,56.913667,-2.123,0.2,0.1,0.008418,Marine,0.12
Irish Sea and St. George's Channel,54.658833,-4.433667,0.2,0.1,0.111926,Marine,0.12
Mediterranean Sea,37.459,11.83,0.2,0.1,3.133609,Marine,0.1201
Mediterranean Sea,42.4627,3.3037,0.2,0.1,0.213434,Marine,0.12
Mediterranean Sea,42.834567,6.07705,0.2,0.1,0.080207,Marine,0.12
Mediterranean Sea,39.393,19.741,0.2,0.1,2.943333,Marine,0.1201
Gulf of Mexico,20.480567,-97.006983,0.2,0.1,705.218618,Marine,0.1401
Gulf of Mexico,22.21,-85.26,0.2,0.1,0.0,Marine,0.12
Gulf of Mexico,27.8261,-82.5675,0.2,0.1,4000.0,Marine,0.2343
Caribbean Sea,15.57,-69.95,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,16.17,-62.13,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.3062,-61.7993,0.2,0.1,0.003,Marine,0.12
Caribbean Sea,13.17,-59.67,0.2,0.1,0.0108,Marine,0.12
Mediterranean Sea,32.279667,34.825,0.2,0.1,4.254324,Marine,0.1201
Baltic Sea,54.645,10.3495,0.2,0.1,0.01348,Marine,0.12
Beaufort Sea,70.7246,-147.2503,0.2,0.1,0.28,Marine,0.12
Davis Strait,69.069167,-51.9785,0.2,0.1,0.020223,Marine,0.12
Greenland Sea,78.9276,11.9374,0.2,0.1,0.004,Marine,0.12
Mediterranean Sea,42.9005,6.045,0.2,0.1,0.260531,Marine,0.12
North Sea,52.873333,4.644667,0.2,0.1,0.009999,Marine,0.12
North Sea,57.737,-3.706,0.2,0.1,0.0,Marine,0.12
Mediterranean Sea,37.508333,-0.878333,0.2,0.1,0.174,Marine,0.12
Mediterranean Sea,35.845333,-5.736167,0.2,0.1,0.108696,Marine,0.12
Mediterranean Sea,36.842167,15.347667,0.2,0.1,0.206054,Marine,0.12
Mediterranean Sea,38.4047,5.4506,0.2,0.1,0.545829,Marine,0.12
Gulf of Mexico,21.526733,-87.37755,0.2,0.1,706.389134,Marine,0.1402
Gulf of Mexico,25.01,-83.51,0.2,0.1,0.0108,Marine,0.12
Gulf of California,24.14189,-110.349147,0.2,0.1,705.218618,Marine,0.1401
Gulf of Mexico,27.9456,-82.6943,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.6,-62.73,0.2,0.1,0.008096,Marine,0.12
Caribbean Sea,13.3,-61.32,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.02,-78.22,0.2,0.1,0.00216,Marine,0.12
Caribbean Sea,16.93,-81.77,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.8497,-87.7874,0.2,0.1,0.002,Marine,0.12
Caribbean Sea,13.06,-62.64,0.2,0.1,0.00864,Marine,0.12
Caribbean Sea,17.32,-76.67,0.2,0.1,0.00432,Marine,0.12
English Channel,50.0685,-0.7519,0.2,0.1,12.0,Marine,0.1203
Mediterranean Sea,43.4061,7.5918,0.2,0.1,1.940703,Marine,0.1201
North Sea,52.937333,2.744,0.2,0.1,0.210804,Marine,0.12
Mediterranean Sea,40.202778,18.494444,0.2,0.1,1.083976,Marine,0.12
Mediterranean Sea,39.272017,2.217867,0.2,0.1,0.740681,Marine,0.12
Mediterranean Sea,41.397303,2.21315,0.2,0.1,2.018667,Marine,0.1201
Gulf of Mexico,27.6279,-82.6415,0.2,0.1,2000.0,Marine,0.1771
Caribbean Sea,13.43,-62.75,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,17.9,-67.62,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.33,-78.92,0.2,0.1,0.0,Marine,0.12
Caribbean Sea,16.32,-85.9,0.2,0.1,0.00432,Marine,0.12
Gulf of Alaska,58.4,-152.3,0.2,0.1,0.005,Marine,0.12
Mediterranean Sea,42.8568,8.317,0.2,0.1,0.398427,Marine,0.12
Inner Seas off the West Coast of Scotland,56.952833,-6.211833,0.2,0.1,0.045332,Marine,0.12
Inner Seas off the West Coast of Scotland,56.483667,-6.679667,0.2,0.1,0.088547,Marine,0.12
Inner Seas off the West Coast of Scotland,55.971667,-4.751,0.2,0.1,0.214936,Marine,0.12
Mediterranean Sea,41.849824,3.147244,0.2,0.1,0.387333,Marine,0.12
Mediterranean Sea,40.14345,3.906933,0.2,0.1,0.094559,Marine,0.12
Mediterranean Sea,41.403637,2.2193,0.2,0.1,1.152667,Marine,0.12
